Time,Anomaly (deg C),Lower confidence limit (2.5%),Upper confidence limit (97.5%)
1915-09,-0.120297745,-0.30047518,0.05987967
1915-10,-0.28610688,-0.44976383,-0.12244993
1915-11,-0.17281866,-0.3218076,-0.023829734
1915-12,-0.3623588,-0.50942546,-0.21529216
1916-01,-0.33786005,-0.4876082,-0.1881119
1916-02,-0.26403636,-0.41823655,-0.10983616
1916-03,-0.43909237,-0.5887705,-0.28941423
1916-04,-0.37517795,-0.5474576,-0.20289832
1916-05,-0.41811523,-0.62675697,-0.20947349
1916-06,-0.49483928,-0.70778334,-0.28189525
1916-07,-0.38488427,-0.58387554,-0.18589298
1916-08,-0.29676017,-0.52024907,-0.07327126
1916-09,-0.3218673,-0.5078389,-0.13589564
1916-10,-0.3744158,-0.54190564,-0.20692603
1916-11,-0.5142024,-0.6644174,-0.3639875
1916-12,-0.8212685,-0.9761314,-0.6664057
1917-01,-0.6892141,-0.84988326,-0.528545
1917-02,-0.715982,-0.8849225,-0.54704154
1917-03,-0.78429514,-0.94445986,-0.6241304
1917-04,-0.5461108,-0.726568,-0.3656537
1917-05,-0.6442835,-0.8495297,-0.43903726
1917-06,-0.47886908,-0.698331,-0.2594072
1917-07,-0.24527456,-0.455212,-0.035337124
1917-08,-0.33282208,-0.5884459,-0.07719827
1917-09,-0.2979707,-0.49015912,-0.10578233
1917-10,-0.53561026,-0.7070309,-0.36418962
1917-11,-0.45924768,-0.6210569,-0.29743847
1917-12,-0.7865544,-0.9670814,-0.6060274
1918-01,-0.5179739,-0.6850022,-0.3509456
1918-02,-0.67216516,-0.8356719,-0.5086584
1918-03,-0.57906806,-0.751414,-0.4067221
1918-04,-0.6234592,-0.8156268,-0.4312916
1918-05,-0.5252177,-0.75086904,-0.29956633
1918-06,-0.38651752,-0.6103386,-0.16269644
1918-07,-0.36958522,-0.56567657,-0.17349385
1918-08,-0.42982036,-0.66980463,-0.18983606
1918-09,-0.25825897,-0.4637045,-0.052813478
1918-10,-0.11888721,-0.31273952,0.07496512
1918-11,-0.18980259,-0.38338757,0.0037823957
1918-12,-0.42425612,-0.6094721,-0.23904014
1919-01,-0.25126135,-0.435014,-0.067508675
1919-02,-0.24207273,-0.416542,-0.06760347
1919-03,-0.39209825,-0.58520657,-0.19898996
1919-04,-0.21141803,-0.41892788,-0.0039082
1919-05,-0.30793867,-0.5225244,-0.093352936
1919-06,-0.35769194,-0.5655215,-0.14986245
1919-07,-0.29989257,-0.51161784,-0.08816732
1919-08,-0.2381391,-0.4837357,0.0074575483
1919-09,-0.28606114,-0.48273113,-0.08939117
1919-10,-0.25880492,-0.44467,-0.07293986
1919-11,-0.5575256,-0.71599007,-0.39906105
1919-12,-0.5033144,-0.67652005,-0.3301087
1920-01,-0.25863704,-0.43835065,-0.07892343
1920-02,-0.545883,-0.69912046,-0.39264554
1920-03,-0.17207259,-0.3437741,-0.00037105498
1920-04,-0.33658424,-0.5365327,-0.13663577
1920-05,-0.25627613,-0.46498504,-0.047567245
1920-06,-0.23811027,-0.45812166,-0.018098898
1920-07,-0.30046934,-0.5018703,-0.09906845
1920-08,-0.22659715,-0.45900223,0.005807938
1920-09,-0.1964555,-0.3914321,-0.0014788725
1920-10,-0.21776049,-0.38453242,-0.050988548
1920-11,-0.3456471,-0.52150667,-0.16978753
1920-12,-0.4884766,-0.6523202,-0.32463297
1921-01,-0.21760732,-0.37502497,-0.06018965
1921-02,-0.29521245,-0.44902927,-0.14139564
1921-03,-0.34263408,-0.50093555,-0.18433265
1921-04,-0.29096943,-0.46709645,-0.11484241
1921-05,-0.30159548,-0.5012052,-0.10198575
1921-06,-0.15440017,-0.3658895,0.057089157
1921-07,-0.15540703,-0.3545471,0.043733045
1921-08,-0.32134694,-0.5458187,-0.09687517
1921-09,-0.20710628,-0.39442888,-0.019783666
1921-10,-0.13444184,-0.30367956,0.034795877
1921-11,-0.19592439,-0.3460785,-0.04577027
1921-12,-0.27147904,-0.424055,-0.11890304
1922-01,-0.419077,-0.56817025,-0.2699838
1922-02,-0.40880406,-0.5457496,-0.2718585
1922-03,-0.344148,-0.4943077,-0.19398831
1922-04,-0.29111138,-0.45628148,-0.12594129
1922-05,-0.46964964,-0.6579521,-0.28134724
1922-06,-0.29270366,-0.48048604,-0.104921274
1922-07,-0.2590808,-0.44124886,-0.07691275
1922-08,-0.355893,-0.5667185,-0.14506747
1922-09,-0.32432133,-0.49675274,-0.15188992
1922-10,-0.34514487,-0.49858475,-0.19170502
1922-11,-0.25539744,-0.39435166,-0.116443194
1922-12,-0.30540624,-0.4507393,-0.16007322
1923-01,-0.40372258,-0.54395944,-0.26348573
1923-02,-0.4944323,-0.6337809,-0.3550837
1923-03,-0.45562357,-0.5954459,-0.3158013
1923-04,-0.41038665,-0.57101375,-0.24975957
1923-05,-0.4038749,-0.5846617,-0.22308807
1923-06,-0.25269112,-0.4406215,-0.06476072
1923-07,-0.41963744,-0.5942383,-0.2450366
1923-08,-0.32384917,-0.537738,-0.10996033
1923-09,-0.34093276,-0.5162632,-0.16560236
1923-10,-0.1764545,-0.33028832,-0.022620698
1923-11,-0.03351226,-0.17447731,0.107452795
1923-12,-0.10004945,-0.24315248,0.043053582
1924-01,-0.32711104,-0.47252598,-0.18169609
1924-02,-0.31528232,-0.45562285,-0.17494178
1924-03,-0.17595449,-0.3153586,-0.036550395
1924-04,-0.34247932,-0.5014861,-0.18347253
1924-05,-0.21757317,-0.39559406,-0.03955228
1924-06,-0.27555224,-0.46537247,-0.085732006
1924-07,-0.29391536,-0.46117327,-0.12665746
1924-08,-0.3172419,-0.5321844,-0.102299385
1924-09,-0.33069578,-0.5084952,-0.15289639
1924-10,-0.36585054,-0.5206516,-0.2110495
1924-11,-0.2907367,-0.4303612,-0.15111223
